angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.0,0.46,,,"[260, 430, 443, 543]","[164, 745, 31, 37]",,,0.0,0.0,,,0.0,0.08,,,1.0,0.01,,,0.0,0.02,,,0.0,0.4,,,0.0,0.02,,
0.0,0.66,,,"[272, 449, 442, 526]","[165, 744, 32, 38]",,,0.0,0.0,,,0.0,0.08,,,1.0,0.01,,,0.0,0.02,,,0.0,0.19,,,0.0,0.03,,
0.0,,,,"[275, 446, 441, 529]",,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,0.57,,,"[272, 445, 440, 531]","[169, 746, 29, 36]",,,0.0,0.0,,,0.0,0.1,,,0.99,0.02,,,0.01,0.02,,,0.0,0.28,,,0.0,0.02,,
0.0,0.59,,,"[271, 437, 443, 539]","[169, 746, 31, 37]",,,0.0,0.01,,,0.0,0.09,,,0.99,0.02,,,0.01,0.01,,,0.0,0.25,,,0.0,0.03,,
0.0,0.5,,,"[266, 436, 452, 551]","[170, 747, 31, 36]",,,0.0,0.01,,,0.0,0.11,,,0.99,0.03,,,0.01,0.03,,,0.0,0.31,,,0.0,0.02,,
0.0,,,,"[264, 437, 453, 552]",,,,0.0,,,,0.0,,,,0.97,,,,0.03,,,,0.0,,,,0.0,,,
0.0,,,,"[263, 446, 448, 544]",,,,0.0,,,,0.0,,,,0.98,,,,0.02,,,,0.0,,,,0.0,,,
0.0,0.5,,,"[259, 448, 453, 549]","[172, 746, 34, 39]",,,0.0,0.01,,,0.0,0.09,,,0.99,0.04,,,0.01,0.04,,,0.0,0.28,,,0.0,0.04,,
0.0,,,,"[258, 451, 447, 542]",,,,0.0,,,,0.0,,,,0.98,,,,0.02,,,,0.0,,,,0.0,,,
0.0,,,,"[250, 450, 454, 547]",,,,0.0,,,,0.0,,,,0.98,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[245, 449, 453, 545]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[244, 444, 453, 549]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[244, 441, 449, 549]",,,,0.0,,,,0.0,,,,0.97,,,,0.03,,,,0.0,,,,0.0,,,
0.0,0.26,,,"[240, 443, 450, 546]","[700, 815, 33, 40]",,,0.0,0.01,,,0.0,0.21,,,0.98,0.13,,,0.02,0.15,,,0.0,0.22,,,0.0,0.03,,
0.0,0.04,,,"[240, 442, 449, 545]","[737, 1209, 41, 60]",,,0.0,0.0,,,0.0,0.03,,,0.93,0.39,,,0.06,0.17,,,0.0,0.37,,,0.0,0.0,,
0.0,,,,"[237, 439, 452, 546]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[228, 442, 460, 548]",,,,0.0,,,,0.0,,,,0.98,,,,0.02,,,,0.0,,,,0.0,,,
0.0,,,,"[219, 441, 464, 549]",,,,0.0,,,,0.0,,,,0.98,,,,0.02,,,,0.0,,,,0.0,,,
0.0,,,,"[227, 451, 451, 538]",,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,"[232, 454, 446, 538]",,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,"[220, 450, 449, 541]",,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,"[220, 446, 451, 545]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[214, 449, 452, 545]",,,,0.0,,,,0.0,,,,0.98,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[213, 444, 455, 554]",,,,0.0,,,,0.0,,,,0.98,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[209, 442, 460, 557]",,,,0.0,,,,0.0,,,,0.97,,,,0.03,,,,0.0,,,,0.0,,,
0.0,,,,"[205, 439, 461, 557]",,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,0.17,,,"[201, 442, 456, 547]","[684, 781, 31, 36]",,,0.0,0.0,,,0.0,0.06,,,1.0,0.09,,,0.0,0.01,,,0.0,0.67,,,0.0,0.0,,
0.0,0.42,0.1,,"[190, 442, 460, 551]","[682, 781, 35, 41]","[694, 1206, 42, 65]",,0.0,0.0,0.0,,0.0,0.15,0.1,,1.0,0.07,0.08,,0.0,0.01,0.07,,0.0,0.35,0.66,,0.0,0.0,0.0,
0.0,0.19,,,"[206, 459, 427, 526]","[683, 782, 35, 40]",,,0.0,0.0,,,0.0,0.13,,,1.0,0.08,,,0.0,0.01,,,0.0,0.59,,,0.0,0.0,,
0.0,0.23,,,"[184, 445, 448, 539]","[684, 783, 35, 39]",,,0.0,0.0,,,0.0,0.11,,,1.0,0.07,,,0.0,0.01,,,0.0,0.57,,,0.0,0.0,,
0.0,0.15,,,"[171, 435, 458, 549]","[685, 783, 35, 39]",,,0.0,0.0,,,0.0,0.12,,,1.0,0.07,,,0.0,0.01,,,0.0,0.64,,,0.0,0.0,,
0.0,,,,"[170, 433, 455, 545]",,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,"[170, 431, 453, 544]",,,,0.0,,,,0.0,,,,0.95,,,,0.04,,,,0.0,,,,0.0,,,
0.0,,,,"[168, 432, 456, 541]",,,,0.0,,,,0.0,,,,0.96,,,,0.03,,,,0.0,,,,0.0,,,
0.0,,,,"[167, 439, 451, 533]",,,,0.0,,,,0.0,,,,0.97,,,,0.03,,,,0.0,,,,0.0,,,
0.0,0.28,,,"[168, 442, 450, 532]","[690, 788, 35, 40]",,,0.0,0.0,,,0.0,0.14,,,0.95,0.09,,,0.04,0.01,,,0.0,0.47,,,0.0,0.0,,
0.0,0.22,,,"[169, 445, 447, 529]","[691, 789, 34, 39]",,,0.0,0.0,,,0.0,0.11,,,0.98,0.1,,,0.02,0.01,,,0.0,0.57,,,0.0,0.0,,
0.0,0.23,,,"[170, 445, 447, 532]","[692, 790, 34, 39]",,,0.0,0.0,,,0.0,0.12,,,0.98,0.1,,,0.02,0.01,,,0.0,0.54,,,0.0,0.0,,
0.0,0.18,,,"[173, 448, 446, 531]","[692, 791, 34, 39]",,,0.0,0.0,,,0.0,0.11,,,0.98,0.05,,,0.02,0.01,,,0.0,0.65,,,0.0,0.0,,
0.0,0.17,,,"[173, 451, 446, 530]","[692, 792, 35, 40]",,,0.0,0.0,,,0.0,0.13,,,0.98,0.05,,,0.01,0.01,,,0.0,0.64,,,0.0,0.0,,
0.0,0.16,,,"[178, 452, 445, 534]","[695, 792, 33, 40]",,,0.0,0.0,,,0.0,0.1,,,0.99,0.11,,,0.01,0.01,,,0.0,0.62,,,0.0,0.0,,
0.0,0.23,,,"[193, 462, 433, 526]","[695, 793, 34, 40]",,,0.0,0.0,,,0.0,0.11,,,1.0,0.07,,,0.0,0.01,,,0.0,0.58,,,0.0,0.0,,
0.0,0.13,,,"[204, 462, 426, 514]","[696, 794, 33, 38]",,,0.0,0.0,,,0.0,0.09,,,1.0,0.11,,,0.0,0.01,,,0.0,0.66,,,0.0,0.0,,
0.0,0.14,,,"[212, 460, 422, 512]","[696, 795, 34, 38]",,,0.0,0.0,,,0.0,0.09,,,0.99,0.13,,,0.01,0.01,,,0.0,0.62,,,0.0,0.0,,
0.0,0.14,,,"[222, 457, 422, 508]","[697, 796, 34, 38]",,,0.0,0.0,,,0.0,0.09,,,0.97,0.09,,,0.02,0.01,,,0.0,0.68,,,0.0,0.0,,
0.0,0.3,,,"[223, 457, 432, 510]","[698, 797, 33, 39]",,,0.0,0.0,,,0.0,0.09,,,0.81,0.15,,,0.18,0.01,,,0.01,0.44,,,0.0,0.0,,
0.0,0.13,,,"[236, 453, 433, 510]","[698, 797, 35, 40]",,,0.0,0.0,,,0.0,0.12,,,0.68,0.12,,,0.31,0.01,,,0.01,0.61,,,0.0,0.0,,
0.0,0.12,,,"[241, 500, 330, 409]","[695, 796, 40, 48]",,,0.0,0.0,,,0.0,0.09,,,0.96,0.29,,,0.04,0.04,,,0.0,0.46,,,0.0,0.0,,
0.0,0.19,,,"[254, 449, 431, 512]","[697, 797, 42, 48]",,,0.0,0.0,,,0.0,0.13,,,0.96,0.25,,,0.04,0.05,,,0.0,0.37,,,0.0,0.01,,
0.0,0.1,,,"[264, 448, 432, 512]","[700, 796, 37, 44]",,,0.0,0.0,,,0.0,0.15,,,0.99,0.26,,,0.01,0.03,,,0.0,0.44,,,0.0,0.01,,
0.0,0.04,,,"[271, 448, 431, 513]","[703, 799, 33, 38]",,,0.0,0.01,,,0.0,0.08,,,0.98,0.05,,,0.02,0.02,,,0.0,0.8,,,0.0,0.0,,
0.0,0.04,,,"[277, 444, 431, 515]","[706, 800, 30, 37]",,,0.0,0.01,,,0.0,0.06,,,0.98,0.11,,,0.02,0.02,,,0.0,0.76,,,0.0,0.0,,
0.0,0.04,,,"[284, 451, 429, 517]","[710, 803, 27, 33]",,,0.0,0.0,,,0.0,0.04,,,0.99,0.2,,,0.01,0.02,,,0.0,0.68,,,0.0,0.01,,
0.0,,,,"[288, 448, 425, 522]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[296, 453, 422, 517]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[301, 458, 423, 514]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[308, 465, 424, 512]",,,,0.0,,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,
0.0,,,,"[311, 465, 422, 509]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[311, 469, 422, 509]",,,,0.0,,,,0.0,,,,0.98,,,,0.02,,,,0.0,,,,0.0,,,
0.0,,,,"[321, 472, 412, 503]",,,,0.0,,,,0.0,,,,0.98,,,,0.02,,,,0.0,,,,0.0,,,
0.0,,,,"[320, 479, 420, 504]",,,,0.0,,,,0.0,,,,0.98,,,,0.02,,,,0.0,,,,0.0,,,
0.0,,,,"[327, 474, 414, 501]",,,,0.0,,,,0.0,,,,0.96,,,,0.04,,,,0.0,,,,0.0,,,
0.0,,,,"[326, 477, 418, 501]",,,,0.0,,,,0.0,,,,0.99,,,,0.01,,,,0.0,,,,0.0,,,
0.0,,,,"[330, 478, 417, 500]",,,,0.0,,,,0.0,,,,0.95,,,,0.05,,,,0.0,,,,0.0,,,
0.0,,,,"[329, 482, 420, 497]",,,,0.0,,,,0.0,,,,0.91,,,,0.08,,,,0.0,,,,0.0,,,
0.0,,,,"[332, 483, 412, 495]",,,,0.0,,,,0.0,,,,0.82,,,,0.16,,,,0.01,,,,0.0,,,
0.01,,,,"[332, 486, 413, 495]",,,,0.0,,,,0.01,,,,0.29,,,,0.64,,,,0.05,,,,0.0,,,
0.01,,,,"[327, 493, 411, 489]",,,,0.0,,,,0.01,,,,0.05,,,,0.83,,,,0.1,,,,0.0,,,
0.01,,,,"[324, 497, 413, 488]",,,,0.0,,,,0.01,,,,0.01,,,,0.77,,,,0.2,,,,0.0,,,
0.01,,,,"[325, 499, 410, 488]",,,,0.0,,,,0.0,,,,0.0,,,,0.79,,,,0.19,,,,0.0,,,
0.04,,,,"[325, 501, 409, 488]",,,,0.0,,,,0.01,,,,0.0,,,,0.75,,,,0.21,,,,0.0,,,
0.03,,,,"[321, 501, 409, 487]",,,,0.0,,,,0.01,,,,0.0,,,,0.66,,,,0.3,,,,0.0,,,
0.05,,,,"[317, 499, 408, 488]",,,,0.0,,,,0.01,,,,0.0,,,,0.62,,,,0.32,,,,0.0,,,
0.03,,,,"[312, 502, 401, 485]",,,,0.0,,,,0.01,,,,0.0,,,,0.58,,,,0.37,,,,0.0,,,
0.03,,,,"[308, 500, 404, 494]",,,,0.0,,,,0.01,,,,0.0,,,,0.6,,,,0.36,,,,0.0,,,
0.01,,,,"[305, 509, 412, 494]",,,,0.0,,,,0.01,,,,0.0,,,,0.73,,,,0.25,,,,0.0,,,
0.01,,,,"[296, 506, 421, 500]",,,,0.0,,,,0.0,,,,0.0,,,,0.72,,,,0.26,,,,0.0,,,
0.02,,,,"[296, 508, 414, 500]",,,,0.0,,,,0.0,,,,0.0,,,,0.64,,,,0.33,,,,0.0,,,
0.01,,,,"[289, 508, 422, 504]",,,,0.0,,,,0.0,,,,0.0,,,,0.67,,,,0.31,,,,0.0,,,
0.01,0.13,,,"[288, 511, 419, 506]","[710, 824, 33, 36]",,,0.0,0.0,,,0.0,0.04,,,0.0,0.53,,,0.74,0.02,,,0.24,0.26,,,0.0,0.01,,
0.01,,,,"[285, 516, 420, 504]",,,,0.0,,,,0.0,,,,0.0,,,,0.72,,,,0.26,,,,0.0,,,
0.01,0.09,,,"[290, 531, 414, 500]","[704, 826, 39, 43]",,,0.0,0.0,,,0.01,0.03,,,0.0,0.52,,,0.54,0.07,,,0.45,0.3,,,0.0,0.0,,
0.01,0.05,,,"[280, 521, 420, 505]","[714, 825, 27, 31]",,,0.0,0.0,,,0.01,0.07,,,0.0,0.1,,,0.61,0.01,,,0.38,0.78,,,0.0,0.0,,
0.01,0.11,,,"[275, 522, 420, 508]","[709, 824, 34, 38]",,,0.0,0.01,,,0.01,0.11,,,0.0,0.12,,,0.68,0.04,,,0.31,0.61,,,0.0,0.0,,
0.01,0.13,,,"[270, 526, 420, 507]","[705, 827, 35, 39]",,,0.0,0.0,,,0.01,0.11,,,0.0,0.1,,,0.68,0.03,,,0.3,0.63,,,0.0,0.0,,
0.01,0.07,,,"[266, 529, 419, 502]","[707, 826, 35, 40]",,,0.0,0.0,,,0.01,0.11,,,0.0,0.22,,,0.7,0.04,,,0.29,0.56,,,0.0,0.0,,
0.01,0.09,,,"[267, 531, 412, 505]","[712, 828, 28, 31]",,,0.0,0.0,,,0.01,0.11,,,0.0,0.06,,,0.69,0.01,,,0.29,0.73,,,0.0,0.0,,
0.01,0.26,,,"[261, 524, 415, 510]","[703, 834, 37, 43]",,,0.0,0.0,,,0.0,0.04,,,0.0,0.09,,,0.85,0.15,,,0.14,0.47,,,0.0,0.0,,
0.02,,,,"[248, 528, 430, 530]",,,,0.0,,,,0.01,,,,0.0,,,,0.6,,,,0.37,,,,0.0,,,
0.0,0.17,0.41,,"[245, 530, 427, 523]","[710, 828, 32, 38]","[737, 869, 41, 45]",,0.0,0.0,0.0,,0.0,0.09,0.18,,0.0,0.24,0.13,,0.9,0.02,0.13,,0.1,0.47,0.15,,0.0,0.0,0.01,
0.01,0.32,0.21,,"[246, 536, 422, 508]","[703, 830, 39, 44]","[738, 870, 42, 44]",,0.0,0.0,0.0,,0.0,0.1,0.26,,0.0,0.16,0.16,,0.77,0.03,0.12,,0.22,0.39,0.25,,0.0,0.0,0.01,
0.01,0.14,,,"[247, 545, 418, 493]","[709, 829, 34, 38]",,,0.0,0.0,,,0.0,0.07,,,0.0,0.16,,,0.84,0.02,,,0.15,0.6,,,0.0,0.0,,
0.01,0.1,,,"[245, 539, 416, 497]","[709, 830, 34, 38]",,,0.0,0.0,,,0.0,0.11,,,0.0,0.11,,,0.65,0.02,,,0.34,0.67,,,0.0,0.0,,
0.01,0.15,,,"[244, 530, 417, 507]","[709, 831, 33, 38]",,,0.0,0.0,,,0.0,0.11,,,0.0,0.16,,,0.79,0.02,,,0.19,0.56,,,0.0,0.0,,
0.02,0.28,,,"[246, 528, 421, 510]","[703, 832, 39, 44]",,,0.0,0.0,,,0.01,0.08,,,0.0,0.15,,,0.63,0.03,,,0.34,0.45,,,0.0,0.0,,
0.01,0.25,0.31,,"[238, 522, 425, 514]","[703, 833, 39, 44]","[737, 873, 41, 44]",,0.0,0.0,0.0,,0.0,0.08,0.24,,0.01,0.28,0.09,,0.73,0.04,0.12,,0.25,0.35,0.23,,0.0,0.0,0.01,
0.03,0.3,0.28,,"[245, 521, 412, 504]","[704, 833, 38, 44]","[737, 874, 41, 44]",,0.0,0.0,0.0,,0.0,0.08,0.32,,0.01,0.15,0.07,,0.73,0.04,0.08,,0.22,0.42,0.24,,0.0,0.0,0.01,
0.01,0.26,,,"[245, 520, 411, 507]","[703, 836, 39, 42]",,,0.0,0.0,,,0.01,0.13,,,0.01,0.27,,,0.77,0.07,,,0.2,0.27,,,0.0,0.0,,
0.02,0.25,,,"[242, 521, 427, 515]","[710, 834, 33, 38]",,,0.0,0.0,,,0.0,0.11,,,0.0,0.12,,,0.85,0.02,,,0.12,0.5,,,0.0,0.0,,
0.01,0.25,,,"[245, 527, 425, 506]","[710, 835, 32, 38]",,,0.0,0.0,,,0.0,0.13,,,0.0,0.16,,,0.86,0.02,,,0.13,0.43,,,0.0,0.0,,
0.01,0.24,,,"[247, 527, 426, 503]","[707, 835, 36, 41]",,,0.0,0.0,,,0.0,0.14,,,0.01,0.13,,,0.85,0.02,,,0.12,0.47,,,0.0,0.0,,
0.01,0.21,,,"[249, 523, 427, 509]","[707, 836, 36, 41]",,,0.0,0.0,,,0.0,0.12,,,0.0,0.18,,,0.8,0.03,,,0.19,0.46,,,0.0,0.0,,
0.01,0.18,,,"[253, 528, 424, 502]","[709, 837, 34, 38]",,,0.0,0.0,,,0.0,0.12,,,0.01,0.17,,,0.87,0.02,,,0.11,0.51,,,0.0,0.0,,
0.01,0.25,,,"[250, 521, 427, 512]","[709, 837, 34, 39]",,,0.0,0.0,,,0.01,0.13,,,0.01,0.26,,,0.89,0.02,,,0.09,0.34,,,0.0,0.0,,
0.03,0.23,,,"[255, 521, 419, 499]","[707, 837, 36, 40]",,,0.0,0.0,,,0.01,0.14,,,0.0,0.22,,,0.56,0.03,,,0.4,0.37,,,0.0,0.0,,
0.01,0.21,0.42,,"[258, 523, 413, 493]","[703, 837, 42, 48]","[739, 879, 40, 44]",,0.0,0.0,0.0,,0.0,0.09,0.28,,0.0,0.41,0.05,,0.89,0.04,0.08,,0.1,0.24,0.16,,0.0,0.0,0.01,
0.01,0.25,,,"[259, 519, 414, 497]","[703, 842, 40, 45]",,,0.0,0.0,,,0.02,0.05,,,0.0,0.25,,,0.72,0.11,,,0.25,0.34,,,0.0,0.0,,
0.01,0.22,,,"[261, 520, 412, 495]","[706, 841, 34, 40]",,,0.0,0.0,,,0.01,0.14,,,0.0,0.11,,,0.87,0.02,,,0.1,0.5,,,0.01,0.0,,
0.01,0.17,,,"[266, 524, 407, 485]","[710, 839, 33, 39]",,,0.0,0.0,,,0.0,0.13,,,0.0,0.21,,,0.85,0.02,,,0.13,0.47,,,0.0,0.0,,
0.03,0.19,,,"[265, 526, 409, 485]","[710, 841, 32, 37]",,,0.0,0.0,,,0.0,0.08,,,0.0,0.24,,,0.79,0.02,,,0.18,0.46,,,0.0,0.0,,
0.02,0.17,,,"[265, 526, 410, 484]","[711, 842, 31, 36]",,,0.0,0.0,,,0.0,0.12,,,0.0,0.11,,,0.89,0.01,,,0.09,0.58,,,0.0,0.0,,
0.02,0.22,,,"[259, 520, 416, 494]","[710, 842, 33, 38]",,,0.0,0.0,,,0.0,0.13,,,0.0,0.21,,,0.8,0.02,,,0.17,0.41,,,0.0,0.0,,
0.02,0.05,0.27,,"[267, 525, 411, 486]","[846, 758, 61, 76]","[709, 843, 34, 38]",,0.0,0.0,0.0,,0.0,0.06,0.14,,0.0,0.01,0.18,,0.79,0.53,0.02,,0.18,0.36,0.39,,0.0,0.0,0.0,
0.05,0.06,0.25,,"[268, 528, 411, 486]","[844, 754, 59, 77]","[710, 844, 33, 38]",,0.0,0.0,0.01,,0.01,0.07,0.15,,0.01,0.01,0.22,,0.77,0.44,0.02,,0.16,0.42,0.34,,0.0,0.0,0.0,
0.04,0.08,0.27,,"[266, 524, 413, 493]","[843, 756, 59, 75]","[709, 844, 34, 38]",,0.0,0.0,0.01,,0.01,0.09,0.15,,0.02,0.0,0.12,,0.71,0.26,0.02,,0.22,0.57,0.43,,0.0,0.0,0.0,
0.03,0.05,,,"[266, 519, 417, 501]","[843, 756, 60, 77]",,,0.0,0.0,,,0.01,0.08,,,0.02,0.0,,,0.68,0.43,,,0.26,0.43,,,0.0,0.0,,
0.03,0.08,0.08,0.25,"[267, 517, 418, 501]","[843, 762, 62, 77]","[769, 1425, 162, 199]","[703, 849, 38, 44]",0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.13,0.0,0.0,0.02,0.09,0.86,0.37,0.04,0.07,0.11,0.49,0.77,0.46,0.0,0.0,0.07,0.0
0.01,0.04,0.17,,"[261, 511, 421, 506]","[843, 762, 61, 75]","[710, 845, 35, 39]",,0.0,0.0,0.01,,0.01,0.05,0.15,,0.0,0.0,0.22,,0.73,0.46,0.02,,0.24,0.44,0.43,,0.0,0.0,0.0,
0.01,0.04,0.16,,"[262, 513, 422, 497]","[841, 756, 62, 79]","[711, 846, 33, 38]",,0.0,0.0,0.0,,0.02,0.05,0.16,,0.0,0.0,0.17,,0.87,0.57,0.02,,0.1,0.33,0.49,,0.01,0.0,0.0,
0.01,0.03,0.25,,"[268, 518, 419, 491]","[841, 756, 62, 81]","[710, 847, 35, 40]",,0.0,0.0,0.0,,0.01,0.04,0.16,,0.0,0.01,0.2,,0.79,0.64,0.03,,0.19,0.28,0.35,,0.0,0.0,0.0,
